LastName, FirstName, Course, Position
Mendes, Anthony A. ,  Mathematics, Professor
Metcalf, Lynn E. ,  Industrial Technology and Packaging, Professor
Mewes, Matthew  ,  Physics, Associate Professor
Meyers, Joan  ,  Social Sciences, Assistant Professor
Migler, Theresa  ,  Computer Science, Assistant Professor
Miklowitz, Paul  ,  Philosophy, Professor Emeritus (FERP)
Milbourne, Chelsea  ,  English, Associate Professor
Miller, Charles ,  R. (1987, Professor Emeritus (FERP)
Mitchell, David  ,  Physics, Professor
Mock, Rodney  ,  Accounting, Professor
Moelter, Matthew J. ,  Physics, Professor
Moore, Matthew J. ,  Political Science, Professor
Moreno, J. Kelly  ,  Psychology and Child Development, Professor
Morris, Andrew D. ,  History, Professor
Moss, Robb E. S. ,  Civil and Environmental Engineering, Professor
Mott, Jennifer  ,  Mechanical Engineering, Assistant Professor
Muleta, Misgana  ,  Civil and Environmental Engineering, Professor
Munoz-Christian, Karen  ,  World Languages and Cultures, Professor
Murphy, Kate  ,  History, Professor and Department Chair
Murray, William R. ,  Mechanical Engineering, Professor
Mwangi, James  ,  Architectural Engineering, Associate Dean and Professor
Myers, Allison  ,  Art and Design, Assistant Professor
Nafisi, Ahmad  ,  Electrical Engineering, Professor
Nation, Jasmine  ,  Liberal Studies, Assistant Professor
Navarro, Jenell R. ,  Ethnic Studies, Associate Professor and Department Chair
Navarro, Jose  ,  Ethnic Studies, Associate Professor
Nazmi, Aydin  ,  Food Science and Nutrition, Professor
Neff, Grace Ann ,  Chemistry and Biochemistry, Professor
Neill, Dawn  ,  Interdisciplinary Studies in the Liberal Arts, Professor
Neill, Stern  ,  Marketing, Professor
Nelson, Jill  ,  Architectural Engineering, Associate Professor Emeritus (FERP)
Nelson, Yarrow M. ,  Civil and Environmental Engineering, Professor Emeritus
Nelson, Leslie R. ,  Communication Studies, Assistant Professor
Neumann, Natasha  ,  School of Education, Assistant Professor
Nico, Phillip L. ,  Computer Engineering, Computer Science, Professor
Niku, Saeed B. ,  Mechanical Engineering, Professor Emeritus (FERP)
Noland, Jaymie J. ,  Animal Science, Professor and Department Head
Noori, Mohammad  ,  Mechanical Engineering, Professor
Nuttall, Brent  ,  Architectural Engineering, Professor
Nuworsoo, Cornelius K. ,  City and Regional Planning, Professor
O'Bryant, Camille P. ,  College of Science and Mathematics, Kinesiology, Associate Dean and Professor
O'Hara, Christine E. ,  Landscape Architecture, Professor
Oliver, John Y. ,  Electrical Engineering, Computer Engineering, Professor
Olsen, Eric  ,  Industrial Technology and Packaging, Professor
Olsen, Clare  ,  Architecture, Associate Professor
Orth, Joel J. ,  History, Associate Professor
Osborn, Brian  ,  Architecture, Associate Professor
Oulton, Rebekah L. ,  Civil and Environmental Engineering, Associate Professor
Owen, Franklin C. ,  Mechanical Engineering, Professor Emeritus
Oza, Javin P. ,  Chemistry and Biochemistry, Assistant Professor
Oñate-Madrazo, Andrea  ,  History, Assistant Professor
Pal, Nirupam  ,  Civil and Environmental Engineering, Professor
Palandoken, Hasan  ,  Chemistry and Biochemistry, Professor
Pan, Jianbiao J. ,  Industrial and Manufacturing Engineering, Professor
Pande, Anurag  ,  Civil and Environmental Engineering, Professor
Pantoja, Maria  ,  Computer Engineering, Computer Science, Associate Professor
Papathakis, Peggy C. ,  Food Science and Nutrition, Professor Emeritus (FERP)
Paquin, Dana  ,  Mathematics, Associate Professor
Park, Michael  ,  Journalism, Assistant Professor
Parrotta, Kylie Lynn ,  Social Sciences, Assistant Professor
Pascual, Christopher C. ,  Mechanical Engineering, Professor
Pasulka, Alexis L. ,  Biological Sciences , Assistant Professor
Patel, Pratish A. ,  Finance, Associate Professor
Patton, Linda J. ,  Mathematics, Professor
Pearse, Erin P.J. ,  Mathematics, Associate Professor
Perrine, John D. ,  Biological Sciences, Professor
Peters, Jason  ,  English, Assistant Professor
Peterson, Daniel G. ,  Animal Science, Professor
Peterson, Zachary  ,  Computer Science, Associate Professor
Peuker, Steffen  ,  Mechanical Engineering, Associate Professor
Phelan, Suzanne  ,  Kinesiology, Professor
Phillips, Stephen J. ,  Architecture, Professor
Piburn, Patti  ,  Journalism, Assistant Professor
Pierce, Todd J. ,  English, Professor
Pilkington, Wayne  ,  Electrical Engineering, Associate Professor
Pilolla, Kari  ,  Food Science and Nutrition, Associate Professor
Pokharel, Siroj  ,  Animal Science, Assistant Professor
Ponitz, Jeffrey A. ,  Architecture, Associate Professor
Porumamila, Hemanth  ,  Mechanical Engineering, Associate Professor
Poshtan, Majid  ,  Electrical Engineering, Associate Professor
Pouraghabagher, A. Reza  ,  Industrial and Manufacturing  Engineering, Professor Emeritus (FERP)
Pressler, Yamina  ,  Natural Resources Management and Environmental Sciences, Assistant Professor
Prince, James P ,  College of Agriculture, Food and Environmental Sciences, Associate Dean
Prodanov, Vladimir  ,  Electrical Engineering, Professor
Pulitano, Elvira  ,  Ethnic Studies, Professor
Qenani-Petrela, Eivis  ,  Agribusiness, Professor
Qu, Bing  ,  Civil and Environmental Engineering, Professor
Ragsdale, Joseph J. ,  Landscape Architecture, Professor
Rahim, Ashraf  ,  Civil and Environmental Engineering, Professor
Rahman, Shikha  ,  Civil and Environmental Engineering, Professor
Rajakaruna, Nishanta  ,  Biological Sciences, Associate Professor
Ramezani, Cyrus A. ,  Finance, Professor
Ramrakhiani, Sonia H. ,  School of Education, Assistant Professor (FERP)
Rastad, Mahdi  ,  Finance, Associate Professor
Razi, Alpen  ,  Ethnic Studies, Assistant Professor
Reaves, Scott  ,  Food Science and Nutrition, Professor
Rees, Gordon L. ,  Natural Resources Management and Environmental Sciences, Assistant Professor
Reich, Jonathan  ,  Architecture, Professor
Rein, Steven  ,  Statistics, Associate Professor
Retsek, Dylan Q. ,  Mathematics, Professor
Ribeiro, Bruno  ,  Graphic Communications, Associate Professor
Rice, Margaret ,  S. (1996, Professor
Richert, Benjamin P. ,  Mathematics, Department Chair
Ridgely, John R. ,  Mechanical Engineering, Professor
Riley, Kate J. ,  Mathematics, Professor
Rinzler, Paul  ,  Music, Professor Emeritus (FERP)
Rios, Laura  ,  Physics, Assistant Professor
Ritter, Matthew K. ,  Biological Sciences, Professor
Robbins, Marian E. ,  Mathematics, Professor
Roberts, Joni  ,  Kinesiology, Assistant Professor
Rodgers, Julie Spencer ,  Psychology and Child Development, Associate Professor
Ronan, Briana M. ,  School of Education, Associate Professor
Rong, Xiaoying  ,  Graphic Communication, Professor
Rosenthal, Mira  ,  English, Associate Professor
Ross, Kevin James ,  Statistics, Associate Professor
Rossman, Allan J. ,  Statistics, Professor
Roy, Soma  ,  Statistics, Professor
Rucas, Stacey L. ,  Social Sciences, Professor
Rudi Polloshka, Jeta  ,  Agribusiness, Assistant Professor
Ruef, Michael  ,  School of Education, Professor Emeritus (FERP)
Rummell, Kathryn  ,  College of Liberal Arts, Professor, Associate Vice Povost for Academic Personnel (Interim)
Russell, Craig H. ,  Music, Professor Emeritus (FERP)
Ruszczycky, Steven  ,  English, Assistant Professor
Ruttenberg, Benjamin I. ,  Biological Sciences, Associate Professor
Ryalls, Emily D. ,  Interdisciplinary Studies in the Liberal Arts, Assistant Professor
Ryan, Kathleen A. ,  Psychology and Child Development, Professor Emeritus
Ryujin, Donald H. ,  Psychology and Child Development, Professor
Sabbag, Anelise G. ,  Statistics, Assistant Professor
Sadek, Mohammad  ,  BioResource and Agricultural Engineering, Assistant Professor
Sagarwala, Ahmed  ,  Graphic Communication, Assistant Professor
Saghri, John A. ,  Electrical Engineering, Professor
Saha, Koushik  ,  Industrial Technology and Packaging, Associate Professor
Saliklis, Edmond P. ,  Architectural Engineering, Professor
Sanchez, Fernando Fabio ,  World Languages and Cultures, Professor and Department Chair
Sapper, Erik D. ,  Chemistry and Biochemistry, Assistant Professor
Sattler, Meredith J. ,  Architecture, Assistant Professor
Saunders, Karl F. ,  Physics, Professor and Department Chair
Schaeffer, Robert K. ,  Social Sciences, Professor
Schaffner, Andrew  ,  Statistics, Professor and Department Chair
Schinck-Mikel, Amelie  ,  Mathematics, Associate Professor
Schroeter, Christiane  ,  Agribusiness, Professor
Schuster, Peter J. ,  Mechanical Engineering, Professor
Schwab, Keri  ,  Experience Industry Management, Associate Professor
Schwartz, Debora  ,  English, Associate Professor
Schwartz, Peter V. ,  Physics, Professor
Schwartz, Gregory  ,  BioResource and Agricultural Engineering, Associate Professor
Scott, Gregory E. ,  Chemistry and Biochemistry, Associate Professor
Scriven, Tal E. ,  Philosophy, Professor Emeritus (FERP)
Self, Brian P. ,  Mechanical Engineering, Professor
Seng, John S. ,  Computer Engineering, Computer Science, Professor
Serrano-Careaga, Jesus  ,  Psychology and Child Development, Assistant Professor
Settle, Allen K. ,  Political Science, Professor Emeritus
Shaban, Ali O. ,  Electrical Engineering, Professor
Shafran, Aric  ,  Economics, Professor and Area Chair
Shan, Yan  ,  Journalism, Assistant Professor
Shani, Abraham ,  B. (1983, Professor 
Shapiro, Jonathan  ,  Mathematics, Professor
Sharpe, John P. ,  Physics, Professor
Sherman, Morgan P. ,  Mathematics, Professor
Shields, Jennifer  ,  Architecture, Assistant Professor
Shin, Joongmin  ,  Industrial Technology and Packaging, Associate Professor
Shollenberger, Kim A. ,  Mechanical Engineering, Professor
Sikalidis, Angelos  ,  Food Science and Nutrition, Associate Professor
Silvestri, Michael G. ,  Chemistry and Biochemistry, Professor
Simonian, Lonny G. ,  Construction Management, Professor
Singh, Jagjit ,   (2003, Professor
Sistla, Seeta  ,  Natural Resources Management and Environmental Sciences, Assistant Professor
Sklar, Jeffrey C. ,  Statistics, Professor
Slivovsky, Lynne A. ,  Computer Engineering, Electrical Engineering, Professor, Director of Computer Engineering
Smilkstein, Tina  ,  Electrical Engineering, Computer Engineering, Associate Professor
Smith, Hugh M. ,  Computer Engineering, Computer Science, Professor
Smith, Taylor F. ,  Psychology and Child Development, Associate Professor
Somoza-Norton, Andrea Fabiana ,  School of Education, Assistant Professor
Sparks, Jacob  ,  Philosophy, Assistant Professor
Spiller, Robert  ,  Animal Science, Professor Emeritus
Spiller, W. Terrence ,  Music, Professor
Sprayberry, Kim A. ,  Animal Science, Professor
Staley, Clinton A. ,  Computer Science, Professor
Stanchev, Lubomir  ,  Computer Science, Professor
Stanko, Taryn  ,  Management, HR, and Information Systems, Associate Professor
Stankus, Mark  ,  Mathematics, Professor
Stannard, Sandra  ,  Architecture, Professor
Stanton, Diana L. ,  Theatre and Dance, Professor
Starzyk, Gregory F. ,  Construction Management, Professor
Stegner, Paul Dustin  ,  English, Professor
Steinmaus, Scott J. ,  Horticulture and Crop Science, Professor and Department Head
Strand, Christy  ,  Biological Sciences, Professor
Styles, Stuart W. ,  BioResource and Agricultural Engineering, Professor
Sun, Dennis L. ,  Statistics, Associate Professor
Sungar, Nilgun  ,  Physics, Professor Emeritus (FERP)
Surfleet, Christopher Graham ,  Natural Resources Management and Environmental Sciences, Professor
Swan, Benjamin G. ,  Agricultural Education and Communication, Professor and Department Head
Sweatt, Lisa I. ,  Psychology and Child Development, Associate Professor
Sze, Lawrence  ,  Mathematics, Associate Professor
Szlavik, Robert  ,  Biomedical Engineering, Professor
Talke, Stefan A. ,  Civil and Environmental Engineering, Associate Professor
Tanvir, Shams  ,  Civil and Environmental Engineering, Assistant Professor
Taufik,   ,  Electrical Engineering, Professor
Taylor, Emily N. ,  Biological Sciences, Professor
Taylor, J. Kevin  ,  School of Education, Professor and Director
Tejani, James  ,  History, Associate Professor
Telesetsky, Anastasia  ,  Natural Resources Management and Environmental Sciences, Professor
Teramoto Pedrotti, Jennifer  ,  College of Liberal Arts, Psychology and Child Development, Associate Dean and Professor
Teufel, Brady  ,  Journalism, Professor
Thatcher, Tracy  ,  Civil and Environmental Engineering, Professor
Theobold, Allison  ,  Statistics, Assistant Professor
Theodoropoulos, Christine Olympia ,  College of Architecture and Environmental Design, Dean
Thomas, Jafra  ,  Kinesiology, Assistant Professor
Thompson, John Jay ,  World Languages and Cultures, Professor
Thompson, Richard  P. ,  Natural Resources Management and Environmental Sciences, Professor
Thorncroft, Glen E. ,  Mechanical Engineering, Professor
Thulin, Andrew J. ,  College of Agriculture, Food and  Environmental Sciences, Dean
Toker, Umut  ,  Architecture, Professor
Tomanek, Lars  ,  Biological Sciences, Professor
Torres-Bustamente, Cesar  ,  Landscape Architecture, Associate Professor
Trice, Tom R. ,  History, Associate Professor
Trudell, Carmen Gayle ,  Architecture, Associate Professor and Assistant Department Head
Tseng, Marilyn  ,  Kinesiology, Assistant Professor
Tubeleih, Ashraf  ,  Horticulture and Crop Science, Assistant Professor
Tully-Doyle, Ryan  ,  Mathematics, Assistant Professor
Turner, Clark S. ,  Computer Science, Professor
Twomey, Colleen Larkin ,  Graphic Communication, Associate Professor and Department Chair
Vagnoni, David  ,  Animal Science, Assistant Professor
Vakalis, Ignatios  ,  Computer Science, Professor
Valencia-Laver, Debra L. ,  College of Liberal Arts, Psychology and  Child Development, Professor
Vasilaky, Kathryn N. ,  Economics, Assistant Professor
Vees, Dina  ,  Graphic Communication, Assistant Professor
Velasquez, Gloria  ,  World Languages and Cultures, Professor Emeritus (FERP)
Ventura, Alison K. ,  Kinesiology, Associate Professor
Ventura, Jonathan  ,  Computer Science, Assistant Professor
Verma, Priya O. ,  Natural Resources Management and Environmental Sciences, Associate Professor
Vernon, J. Scott  ,  Agricultural Education and Communication, Professor
Villablanca, Francis X. ,  Biological Sciences, Professor
Vokos, Stamatis  ,  Physics, Professor
Volpe, Richard  ,  Agribusiness, Associate Professor
Vredevoe, Larisa K. ,  Biological Sciences, Professor
Waitinas, Catherine  ,  English, Professor
Waldorf, Daniel  ,  Industrial and Manufacturing Engineering, Professor and Department Chair
Walker, John L. ,  Statistics, Professor
Wallace, Robert  ,  Philosophy, Assistant Professor
Walter, Ryan K. ,  Physics, Associate Professor
Wang, Xuan  ,  Industrial and Manufacturing Engineering, Associate Professor
Wang, Cindy  ,  Marketing, Assistant Professor
Wang, Long  ,  Civil and Environmental Engineering, Assistant Professor
Ward, Sandra M. ,  Chemistry and Biochemistry, Assistant Professor
Watts, David J. ,  Landscape Architecture, Associate Professor
Watts, Katharine R. ,  Chemistry and Biochemistry, Associate Professor
Weber, Paul A. ,  Construction Management, Associate Professor
Weber, TJ  ,  Marketing, Assistant Professor
Wendt, Dean E. ,  College of Science and Mathematics, Biological Sciences, Dean and Professor
Werner, James  ,  Art and Design, Associate Professor and Department Chair
Westermann, Kimberly  ,  Accounting, Associate Professor
Westphal, Russell  ,  Mechanical Engineering, Professor
White, Crow  ,  Biological Sciences, Associate Professor
White, Matthew E. ,  Mathematics, Associate Professor
White, Emily  ,  Architecture, Assistant Professor
White, Corey D. ,  Economics, Assistant Professor
White, Arthur  ,  Music, Assistant Professor
Whitt, Michael D. ,  Biomedical Engineering, Assistant Professor
Widmann, James M. ,  Mechanical Engineering, Professor and Department Chair
Wilkinson, Steven P. ,  Chemistry and Biochemistry, Assistant Professor
Williams, Jean M. ,  Political Science, Professor
Williams, Amber D.  ,  Psychology and Child Development, Assistant Professor
Wilson, Stewart  ,  Natural Resources Management and Environmental Sciences, Assistant Professor
Winstead, Candace R. ,  Biological Sciences, Professor
Wissel, Stephanie  ,  Physics, Assistant Professor
Wolf, Marianne McGarry ,  Agribusiness, Professor Emeritus (FERP)
Wong, Jeffrey C. ,  Horticulture and Crop Science, Professor
Woo, Jeong  ,  Construction Management, Professor and Department Head
Wood, Zoe J. ,  Computer Science, Professor
Wood, Leah  ,  School of Education, Associate Professor
Woodruff, Christopher  ,  Music, Assistant Professor
Wright, Ava  ,  Philosophy, Assistant Professor
Wroldsen, Jack  ,  Accounting, Assistant Professor
Wu, Xi  ,  Mechanical Engineering, Professor
Xing, Siyuan  ,  Mechanical Engineering, Assistant Professor
Yang, Tao H. ,  Industrial and Manufacturing Engineering, Professor
Yeh, Grace I. ,  Ethnic Studies, Communication Studies, Professor
Yep, Alejandra  ,  Biological Sciences, Associate Professor
Yeung, Po Sai Marie  ,  Biological Sciences, Professor
Yeung, Vincent  ,  Animal Science, Associate Professor
Yip, Christopher L. ,  Architecture, Professor Emeritus
Yongcheng, Zhan  ,  Management, HR, and Information Systems, Assistant Professor
York, Jonathan  ,  Industrial Technology and Packaging, Associate Professor
Yoshinobu, Stan  ,  Mathematics, Professor
Yost, Jennifer M. ,  Biological Sciences, Associate Professor
Yu, Xiao-Hua ,   (2000, Professor
Zambrano, Eduardo  ,  Economics, Professor
Zhang, Ning  ,  Political Science, Professor
Zhang, Shanju  ,  Chemistry and Biochemistry, Associate Professor
Zhang, Xiaozheng ,   (2003, Professor
Zigler, David F. ,  Chemistry and Biochemistry, Assistant Professor
Zoerb, Matthew C. ,  Chemistry and Biochemistry, Assistant Professor
Zoller, David J. ,  Philosophy, Assistant Professor
